fold num,imgid,label,feature1,feature2,feature3
5,affae282-693e-4078-b037-de7037ecdcdc___FREC_C.Rust 9909_final_masked.jpg,1,89,20.2247191011,835.979790688
6,57a522fe-b1f4-47e0-9b4c-b30635b402f7___FREC_C.Rust 4226_final_masked.jpg,1,139.5,1.0752688172,1250.55547249
7,0cd24b0c-0a9d-483f-8734-5c08988e029f___FREC_C.Rust 3762_final_masked.jpg,1,164,85.6707317073,1207.36665463
8,83a6031c-8219-4f22-8476-530c6bb1ee31___FREC_C.Rust 3765_final_masked.jpg,1,22524,0.650417332623,666.582822084
9,20ef08f2-96ae-4148-942c-3d7708cd94d8___FREC_C.Rust 9830_final_masked.jpg,1,195,0.25641025641,1250.27834201
0,7c4829bb-fb00-42fc-b19f-1fc057aa61c3___FREC_C.Rust 9986_final_masked.jpg,1,59,36.4406779661,726.641697168
1,30ae56d0-6974-4ad2-b4bf-486a97dcff5f___FREC_C.Rust 4088_final_masked.jpg,1,30439.5,0,707.997035623
2,2a6fe192-977f-482c-8af7-3465448920f4___FREC_C.Rust 9919_final_masked.jpg,1,18941,0.0211182091759,652.440686703
3,d2465b2c-5b95-4557-b086-211e6e7a73d2___FREC_C.Rust 0045_final_masked.jpg,1,21255,0.171724300165,608.984843016
4,3ef85bf3-728f-46d7-95cc-a5bddf34db98___FREC_C.Rust 3885_final_masked.jpg,1,125.5,7.17131474104,1262.81535804
5,fb27b16c-4ac1-45e9-abd2-487a1a528fb0___FREC_C.Rust 0206_final_masked.jpg,1,16750.5,0,568.198046088
6,23f6e0fa-3860-48a5-a3f4-4e64b54a3046___FREC_C.Rust 4336_final_masked.jpg,1,189,0,1208.9646337
7,b884b0a2-44bb-4bf5-b335-946b1757c822___FREC_C.Rust 3955_final_masked.jpg,1,22007,0.0431680828827,600.440686703
8,9ebff92f-999c-49d0-9235-6c98aaa63bbd___FREC_C.Rust 4206_final_masked.jpg,1,134.5,11.8959107807,1225.8691808
9,bee59bef-1155-40bd-97a3-8c600c33e6b5___FREC_C.Rust 0082_final_masked.jpg,1,14759,0,528.984843016
0,91c6f875-414d-4449-937c-488718a84921___FREC_C.Rust 3756_final_masked.jpg,1,26926,0.577508727624,722.724957466
1,e15e3b48-edda-485d-b5a0-0d876f441b73___FREC_C.Rust 3692_final_masked.jpg,1,23825.5,0.098633816709,634.34018147
2,3fe25d8e-4497-49bd-b4e0-9c7dd3c3c6cd___FREC_C.Rust 9960_final_masked.jpg,1,21342.5,0.15227831791,634.34018147
3,bd0ead39-9628-46b3-9feb-c3496af0ae8b___FREC_C.Rust 0015_final_masked.jpg,1,18587.5,0.0376597175521,598.600067019
4,025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655_final_masked.jpg,1,38194,0.439859663822,1381.20727432
5,fec27618-f75c-4a6e-b2e7-d290fcb5b9bd___FREC_C.Rust 3550_final_masked.jpg,1,70,50,743.269113779
6,fdaecc2c-c48c-447d-9cdc-5d52efdc979a___FREC_C.Rust 3858_final_masked.jpg,1,25164.5,0.0119215561605,665.310743928
7,92f2fe26-624c-4620-8210-0e2ff92e594d___FREC_C.Rust 4354_final_masked.jpg,1,18650.5,0.0241280394627,642.884337783
8,b83383d6-f476-412f-b8b8-6965a795ef7b___FREC_C.Rust 3541_final_masked.jpg,1,201.5,9.18114143921,1220.03570139
9,3ea747af-ed9d-44f1-a8b6-61503adf0a4b___FREC_C.Rust 4174_final_masked.jpg,1,17358,0,632.925967932
0,04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_final_masked.jpg,1,15228,0,532.499561787
1,daf0438c-72e3-49af-b23a-50b0d136b18c___FREC_C.Rust 0182_final_masked.jpg,1,19892.5,1.54580872188,632.482316852
2,db3ca396-a1ed-416d-902e-9265335cf132___FREC_C.Rust 3711_final_masked.jpg,1,74.5,16.1073825503,712.482316852
3,5367e167-14f3-4d65-bd93-4c4b693e0bc7___FREC_C.Rust 4109_final_masked.jpg,1,26138.5,0.0459092908927,651.854900241
4,fc170fda-2b0d-4b02-a569-fbe37a23264d___FREC_C.Rust 3704_final_masked.jpg,1,155,10.9677419355,933.744290352
5,69ceb6f0-6e63-4676-90a6-288ae97b0c2f___FREC_C.Rust 0107_final_masked.jpg,1,136,0,935.945300817
6,a3bfb6c7-1f1e-407a-a2cf-40b316896185___FREC_C.Rust 9819_final_masked.jpg,1,118,0,1163.74429035
7,94d6b99f-2ac4-4a88-823f-3c607358d057___FREC_C.Rust 9826_final_masked.jpg,1,137.5,2.90909090909,1075.44277465
8,3590e70d-8ab1-453d-ae81-0f77bdda3f60___FREC_C.Rust 3824_final_masked.jpg,1,175.5,11.396011396,1301.40828478
9,aa87fd23-a302-4e4e-80e7-18a261b17fd5___FREC_C.Rust 9989_final_masked.jpg,1,162,1.85185185185,1316.19508171
0,46aef257-999e-4158-9107-c5f5c7c8016a___FREC_C.Rust 4147_final_masked.jpg,1,22899.5,11.3626935086,693.369619012
1,1a67f47d-d35d-4c47-a336-af8ec6141113___FREC_C.Rust 4404_final_masked.jpg,1,23416.5,0,654.908722997
2,fb11d069-d664-4666-ab51-3a7a4284e495___FREC_C.Rust 3791_final_masked.jpg,1,142,5.28169014085,1164.71485281
3,8306d4f0-6a4f-4f02-86ca-72b1a950f420___FREC_C.Rust 0175_final_masked.jpg,1,119.5,3.34728033473,1124.18794143
4,c1d81b03-9e29-4f99-813b-1a9578defbc8___FREC_C.Rust 3942_final_masked.jpg,1,15710,0.251432208784,566.014280558
5,dee4cbf1-9bdd-451a-b1bb-21756fd981e9___FREC_C.Rust 3727_final_masked.jpg,1,146.5,93.1740614334,1231.32502449
6,af89cf7a-446b-4a39-b454-99a611c10ed2___FREC_C.Rust 3862_final_masked.jpg,1,151.5,0.3300330033,1306.01131618
0,688b1671-7399-46a1-b93e-53b11cf210f7___RS_HL 7842_final_masked.jpg,0,29684,0.550801778736,755.234623909
1,0872ffc6-d9db-4ba7-a2bf-1fb0f537cafb___RS_HL 6129_final_masked.jpg,0,46.5,0,393.747254729
2,5fc76906-09db-4c86-a95e-f3c8d70c29c6___RS_HL 7414_final_masked.jpg,0,153,0,1030.85698819
3,53ad510e-0bf0-4366-928b-8d80f1a51b50___RS_HL 5873_final_masked.jpg,0,101.5,0,964.790972829
4,32073031-1afb-4a9e-ad8b-2d19ef6bb00a___RS_HL 7362_final_masked.jpg,0,55.5,0,766.256921172
5,950e5c9d-49ec-4c5c-af23-69efff18f8a6___RS_HL 5749_final_masked.jpg,0,93,0,921.293498993
6,1c2b51f1-5439-449a-9ca0-52dd158018fc___RS_HL 7998_final_masked.jpg,0,33110,0.718816067653,1334.98901892
7,84d6003b-3195-49cb-9831-861d9dc5b2cd___RS_HL 8041_final_masked.jpg,0,28710,3.38906304424,1311.83469093
8,1b22388a-cf05-4795-892f-a5b6f35304d5___RS_HL 8141_final_masked.jpg,0,216.5,62.817551963,1541.03064907
9,47c52b97-c8c7-41da-8bff-608d8db48408___RS_HL 6243_final_masked.jpg,0,102,0,692.666082382
0,49d18ffd-bfd4-435d-bffb-fe66ec0e3af6___RS_HL 5647_final_masked.jpg,0,54,0,463.445739031
1,8516ac47-c297-4943-9ac1-a10f26e9101c___RS_HL 6094_final_masked.jpg,0,169,0,1072.11182141
2,022b515d-41fd-448e-abac-e8722c32d864___RS_HL 8131_final_masked.jpg,0,164.5,0,1591.49154508
3,11636fd2-75f3-40e5-99c4-777589bfc392___RS_HL 8203_final_masked.jpg,0,114.5,0,1014.04580605
4,857365c4-b60a-465e-8a86-101530c9e83d___RS_HL 5894_final_masked.jpg,0,115,0,979.661030054
5,89699048-94c3-4389-9a86-13e73dfd23c6___RS_HL 7257_final_masked.jpg,0,132.5,0,1292.89861834
6,194c4f91-31be-425f-8ac9-698202cf507d___RS_HL 7470_final_masked.jpg,0,80,0,483.67113471
7,3a1ca70b-00f0-4a0b-a973-8db1da714e6c___RS_HL 7759_final_masked.jpg,0,111.5,0,957.276254058
8,2301f2bb-7972-4fb8-8be6-246ce55ca3b6___RS_HL 6100_final_masked.jpg,0,13526.5,0,572.198046088
9,6437e60f-2ce4-447d-be7f-b2fb181eef42___RS_HL 5992_final_masked.jpg,0,57.5,0,596.11478579
0,0b91573d-d0f3-4e57-b7e5-e1924f537f0e___RS_HL 6216_final_masked.jpg,0,162,0,1283.91081095
1,35acdaad-cf75-4ea6-ae8b-02f5a6e7caeb___RS_HL 7620_final_masked.jpg,0,159,0,1172.25395679
2,1a593b62-fe23-462c-bf68-50f53f357609___RS_HL 6322_final_masked.jpg,0,101.5,0,921.678274989
3,8b36cf3e-4ce6-477b-9773-442f5d3c90e1___RS_HL 7931_final_masked.jpg,0,1488,87.4327956989,921.401144505
4,3ecfd9ce-30c4-4453-9d90-75854c7f82b7___RS_HL 5950_final_masked.jpg,0,120,0,1123.11687374
5,359c0812-8e11-45cf-98f7-95840b503b01___RS_HL 5650_final_masked.jpg,0,43.5,0,436.433546424
6,6b11324f-6b70-40d7-9cd2-f7d36b0c69cd___RS_HL 7431_final_masked.jpg,0,116,0,931.518894672
7,16590622-481b-4f63-ac18-7f590f6af49a___RS_HL 7846_final_masked.jpg,0,108.5,0,682.908722997
8,688b1671-7399-46a1-b93e-53b11cf210f7___RS_HL 7842_final_masked.jpg,0,29684,0.550801778736,755.234623909
9,0872ffc6-d9db-4ba7-a2bf-1fb0f537cafb___RS_HL 6129_final_masked.jpg,0,46.5,0,393.747254729
0,5fc76906-09db-4c86-a95e-f3c8d70c29c6___RS_HL 7414_final_masked.jpg,0,153,0,1030.85698819
1,53ad510e-0bf0-4366-928b-8d80f1a51b50___RS_HL 5873_final_masked.jpg,0,101.5,0,964.790972829
2,32073031-1afb-4a9e-ad8b-2d19ef6bb00a___RS_HL 7362_final_masked.jpg,0,55.5,0,766.256921172
3,950e5c9d-49ec-4c5c-af23-69efff18f8a6___RS_HL 5749_final_masked.jpg,0,93,0,921.293498993
4,1c2b51f1-5439-449a-9ca0-52dd158018fc___RS_HL 7998_final_masked.jpg,0,33110,0.718816067653,1334.98901892
5,84d6003b-3195-49cb-9831-861d9dc5b2cd___RS_HL 8041_final_masked.jpg,0,28710,3.38906304424,1311.83469093
6,1b22388a-cf05-4795-892f-a5b6f35304d5___RS_HL 8141_final_masked.jpg,0,216.5,62.817551963,1541.03064907
7,47c52b97-c8c7-41da-8bff-608d8db48408___RS_HL 6243_final_masked.jpg,0,102,0,692.666082382
8,49d18ffd-bfd4-435d-bffb-fe66ec0e3af6___RS_HL 5647_final_masked.jpg,0,54,0,463.445739031
9,8516ac47-c297-4943-9ac1-a10f26e9101c___RS_HL 6094_final_masked.jpg,0,169,0,1072.11182141
0,022b515d-41fd-448e-abac-e8722c32d864___RS_HL 8131_final_masked.jpg,0,164.5,0,1591.49154508
1,11636fd2-75f3-40e5-99c4-777589bfc392___RS_HL 8203_final_masked.jpg,0,114.5,0,1014.04580605
2,857365c4-b60a-465e-8a86-101530c9e83d___RS_HL 5894_final_masked.jpg,0,115,0,979.661030054
3,89699048-94c3-4389-9a86-13e73dfd23c6___RS_HL 7257_final_masked.jpg,0,132.5,0,1292.89861834
4,194c4f91-31be-425f-8ac9-698202cf507d___RS_HL 7470_final_masked.jpg,0,80,0,483.67113471
5,3a1ca70b-00f0-4a0b-a973-8db1da714e6c___RS_HL 7759_final_masked.jpg,0,111.5,0,957.276254058
6,2301f2bb-7972-4fb8-8be6-246ce55ca3b6___RS_HL 6100_final_masked.jpg,0,13526.5,0,572.198046088
7,6437e60f-2ce4-447d-be7f-b2fb181eef42___RS_HL 5992_final_masked.jpg,0,57.5,0,596.11478579
8,0b91573d-d0f3-4e57-b7e5-e1924f537f0e___RS_HL 6216_final_masked.jpg,0,162,0,1283.91081095
9,35acdaad-cf75-4ea6-ae8b-02f5a6e7caeb___RS_HL 7620_final_masked.jpg,0,159,0,1172.25395679
0,1a593b62-fe23-462c-bf68-50f53f357609___RS_HL 6322_final_masked.jpg,0,101.5,0,921.678274989
1,8b36cf3e-4ce6-477b-9773-442f5d3c90e1___RS_HL 7931_final_masked.jpg,0,1488,87.4327956989,921.401144505
2,3ecfd9ce-30c4-4453-9d90-75854c7f82b7___RS_HL 5950_final_masked.jpg,0,120,0,1123.11687374
3,359c0812-8e11-45cf-98f7-95840b503b01___RS_HL 5650_final_masked.jpg,0,43.5,0,436.433546424
4,6b11324f-6b70-40d7-9cd2-f7d36b0c69cd___RS_HL 7431_final_masked.jpg,0,116,0,931.518894672
5,16590622-481b-4f63-ac18-7f590f6af49a___RS_HL 7846_final_masked.jpg,0,108.5,0,682.908722997
6,42777529-bf54-4134-9bd6-34fbd135575d___RS_HL 8045_final_masked.jpg,0,141.5,0.353356890459,1201.92805588
